DriverNumber,Abbreviation,FullName,Position,Time,Status,RaceName,Round
22,TSU,Yuki Tsunoda,6.0,0 days 00:01:15.803000,Finished,Hungarian Grand Prix,11
6,LAT,Nicholas Latifi,7.0,0 days 00:01:17.910000,Finished,Hungarian Grand Prix,11
63,RUS,George Russell,8.0,0 days 00:01:19.094000,Finished,Hungarian Grand Prix,11
33,VER,Max Verstappen,9.0,0 days 00:01:20.244000,Finished,Hungarian Grand Prix,11
7,RAI,Kimi Räikkönen,10.0,,+1 Lap,Hungarian Grand Prix,11
3,RIC,Daniel Ricciardo,11.0,,+1 Lap,Hungarian Grand Prix,11
47,MSC,Mick Schumacher,12.0,,+1 Lap,Hungarian Grand Prix,11
99,GIO,Antonio Giovinazzi,13.0,,+1 Lap,Hungarian Grand Prix,11
9,MAZ,Nikita Mazepin,14.0,,Collision,Hungarian Grand Prix,11
4,NOR,Lando Norris,15.0,,Collision,Hungarian Grand Prix,11
77,BOT,Valtteri Bottas,16.0,,Collision,Hungarian Grand Prix,11
11,PER,Sergio Perez,17.0,,Collision,Hungarian Grand Prix,11
16,LEC,Charles Leclerc,18.0,,Collision,Hungarian Grand Prix,11
18,STR,Lance Stroll,19.0,,Collision,Hungarian Grand Prix,11
5,VET,Sebastian Vettel,20.0,,Disqualified,Hungarian Grand Prix,11
33,VER,Max Verstappen,1.0,0 days 00:03:27.071000,Finished,Belgian Grand Prix,12
63,RUS,George Russell,2.0,0 days 00:00:01.995000,Finished,Belgian Grand Prix,12
44,HAM,Lewis Hamilton,3.0,0 days 00:00:02.601000,Finished,Belgian Grand Prix,12
3,RIC,Daniel Ricciardo,4.0,0 days 00:00:04.496000,Finished,Belgian Grand Prix,12
5,VET,Sebastian Vettel,5.0,0 days 00:00:07.479000,Finished,Belgian Grand Prix,12
10,GAS,Pierre Gasly,6.0,0 days 00:00:10.177000,Finished,Belgian Grand Prix,12
31,OCO,Esteban Ocon,7.0,0 days 00:00:11.579000,Finished,Belgian Grand Prix,12
16,LEC,Charles Leclerc,8.0,0 days 00:00:12.608000,Finished,Belgian Grand Prix,12
6,LAT,Nicholas Latifi,9.0,0 days 00:00:15.485000,Finished,Belgian Grand Prix,12
55,SAI,Carlos Sainz,10.0,0 days 00:00:16.166000,Finished,Belgian Grand Prix,12
14,ALO,Fernando Alonso,11.0,0 days 00:00:20.590000,Finished,Belgian Grand Prix,12
77,BOT,Valtteri Bottas,12.0,0 days 00:00:22.414000,Finished,Belgian Grand Prix,12
99,GIO,Antonio Giovinazzi,13.0,0 days 00:00:24.163000,Finished,Belgian Grand Prix,12
4,NOR,Lando Norris,14.0,0 days 00:00:27.110000,Finished,Belgian Grand Prix,12
22,TSU,Yuki Tsunoda,15.0,0 days 00:00:28.329000,Finished,Belgian Grand Prix,12
47,MSC,Mick Schumacher,16.0,0 days 00:00:29.507000,Finished,Belgian Grand Prix,12
9,MAZ,Nikita Mazepin,17.0,0 days 00:00:31.993000,Finished,Belgian Grand Prix,12
7,RAI,Kimi Räikkönen,18.0,0 days 00:00:36.054000,Finished,Belgian Grand Prix,12
11,PER,Sergio Perez,19.0,0 days 00:00:38.205000,Finished,Belgian Grand Prix,12
18,STR,Lance Stroll,20.0,0 days 00:00:44.108000,Finished,Belgian Grand Prix,12
33,VER,Max Verstappen,1.0,0 days 01:30:05.395000,Finished,Dutch Grand Prix,13
